Brand,Product Name,Current Price,Original Price,Shipping,Link
GIGABYTE,"GIGABYTE GeForce RTX 3080 Ti Eagle 12G Graphics Card, 3X WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N308TEAGLE-12GD Video Card","$2,099.99",,Get it ,https://www.amazon.ca/GIGABYTE-GeForce-Graphics-WINDFORCE-GV-N308TEAGLE-12GD/dp/B09B7LVS7X
ASUS,"ASUS Dual NVIDIA GeForce RTX 3050 OC Edition Gaming Graphics Card - PCIe 4.0, 8GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot Design, Axial-tech Fan Design, 0dB Technology, Steel Bracket",$499.97,$569.99,Get it ,https://www.amazon.ca/ASUS-NVIDIA-GeForce-Gaming-Graphics/dp/B09R9L6J71
GIGABYTE,"GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X, GV-N307TGAMING OC-8GD Video Card","$1,298.50",,Get it ,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N307TGAMING-OC-8GD/dp/B097G7RBSZ
GIGABYTE,Gigabyte GeForce RTX 3080 Gaming OC 12G NVIDIA 12GB GDDR6X Graphics Card,"$2,730.84",,Get it ,https://www.amazon.ca/Gigabyte-GeForce-Gaming-NVIDIA-Graphics/dp/B09Q8S91T2
NVIDIA,NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 PCI Express 4.0 Graphics Card,"$1,599.99",,Get it ,https://www.amazon.ca/NVIDIA-GeForce-Founders-Express-Graphics/dp/B08PW559LL
ASUS,"ASUS Phoenix NVIDIA GeForce RTX 3060 V2 Gaming Graphics Card- PCIe 4.0, 12GB GDDR6 memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Protective Backplate, Dual ball fan bearings, Auto-Extreme",$699.99,"$2,799.99",Get it ,https://www.amazon.ca/NVIDIA-DisplayPort-Axial-tech-Protective-Auto-Extreme/dp/B09KKKLNJ2
ASUS,"ASUS ROG STRIX NVIDIA GeForce RTX™ 3090 White OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, White color scheme, Axial-tech Fan Design, 2.9-slot, Super Alloy Power",,,,https://www.amazon.ca/GeForce-Graphics-DisplayPort-Axial-tech-2-9-slot/dp/B08R133PYZ
GIGABYTE,"GIGABYTE GeForce RTX 3080 Gaming OC WATERFORCE WB 10G Graphics Card, WATERFORCE Water Block Cooling System, 10GB 320-bit GDDR6X, GV-N3080GAMINGOC WB-10GD Video Card",,,,https://www.amazon.ca/GIGABYTE-WATERFORCE-Graphics-GV-N3080GAMINGOC-WB-10GD/dp/B095KWZHJB
GIGABYTE,"GIGABYTE AORUS GeForce RTX 3080 Xtreme 10G (REV2.0) Graphics Card, Max Covered Cooling, LHR, 10GB 320-bit GDDR6X, GV-N3080AORUS X-10GD REV2.0 Video Card",,,,https://www.amazon.ca/GIGABYTE-REV2-0-Graphics-GV-N3080AORUS-X-10GD/dp/B098V1B88L
ZOTAC,"ZOTAC Gaming GeForce RTX™ 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30900J-10P","$2,979.51","$3,720.99",Get it ,https://www.amazon.ca/Graphics-IceStorm-Advanced-Lighting-ZT-A30900J-10P/dp/B08ZL6XD9H
